"case";"tech";"functional.group";"techapp.score";"Water.supply";"Energy.supply";"Frequency.of.O&M";"Temperature.range";"Flooding";"Vehicular.access ";"Slope";"Soil.type/hydraulic.conductivity";"Groundwater.depth";"Excavation";"Construction.skills ";"Design.skills ";"O&M.skills";"Management";"Spare.parts.supply"
"Katarniya";"uddt";"U";0.940470237748507;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.92053;0.84985
"Katarniya";"drytoilet";"U";0.940329062081301;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.92079;0.8491
"Katarniya";"pour.flush";"U";0.951401678467073;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.91846;0.84871
"Katarniya";"udft";"U";0.952421215667395;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.92134;0.8506
"Katarniya";"tab";"Uadd";0.626539402685931;0.63165;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15285;1
"Katarniya";"drainage";"Uadd";0.756023165749944;NA;NA;1;1;NA;NA;0.939574543333912;NA;1;1;NA;NA;NA;0.15025;1
"Katarniya";"organic.solidwaste";"Uadd";0.972631159877941;NA;NA;1;1;NA;0.941147879018289;NA;NA;NA;NA;NA;NA;NA;0.9509;NA
"Katarniya";"urine.storagetank";"S";0.960563884972376;NA;NA;1;0.872194683110657;NA;0.937600511741177;NA;NA;NA;NA;NA;NA;NA;1;1
"Katarniya";"dehydration.vault";"S";0.945245393307267;NA;NA;1;0.79772134255506;1;0.940579594996451;NA;NA;NA;NA;NA;NA;NA;0.95065;1
"Katarniya";"faecesstorage.chamber";"S";0.946177257448668;NA;NA;1;0.804721304572812;1;0.938568394631417;NA;NA;NA;NA;NA;NA;NA;0.95;1
"Katarniya";"single.pit";"S";0.951188968057727;NA;NA;1;0.797380319109008;1;0.941031907509981;NA;0.97375;0.975004168542846;1;NA;NA;NA;0.8947;1
"Katarniya";"double.pit";"S";0.957506917320988;NA;NA;1;0.796229449316736;1;0.939714662179821;NA;0.97395;0.975299194455147;1;NA;NA;NA;0.95185;1
"Katarniya";"twin.pits";"S";0.925656389195608;NA;NA;1;1;1;NA;0.999944818801708;0.55275;1;1;NA;NA;NA;0.9027;1
"Katarniya";"composting.chamber";"S";0.944283796869776;NA;NA;1;0.797580876159067;1;0.937384228208031;NA;NA;NA;NA;NA;NA;NA;0.94825;1
"Katarniya";"vermi.composter";"S";0.930886334613106;NA;NA;1;0.729266982133875;1;0.939571437111633;NA;NA;NA;NA;NA;NA;NA;0.94965;1
"Katarniya";"septic.tank";"S";0.981935523286685;NA;NA;1;0.951199824893825;1;0.9423800172562;NA;NA;NA;NA;NA;NA;NA;1;1
"Katarniya";"motorized.transport.urine";"C";0.690682143250853;NA;NA;1;1;NA;0.8574;0.999937117907135;NA;NA;NA;NA;NA;NA;0.1491;0.84925
"Katarniya";"humanpowered.transport.urine";"C";0.999822465639843;NA;NA;1;1;NA;0.998935266503899;1;NA;NA;NA;NA;NA;NA;1;1
"Katarniya";"motorized.transport.dry";"C";0.689864551407223;NA;NA;1;1;NA;0.8537;1;NA;NA;NA;NA;NA;NA;0.14875;0.84883
"Katarniya";"humanpowered.transport.dry";"C";0.999853423502119;NA;NA;1;1;NA;0.999120863219785;1;NA;NA;NA;NA;NA;NA;1;1
"Katarniya";"conventional.sewer";"C";0.732676827446127;NA;NA;1;1;1;0.892341719954076;0.720151488802768;NA;0.996628815158782;1;NA;NA;NA;0.095;1
"Katarniya";"solidsfree.sewer";"C";0.893192132895345;NA;NA;1;1;1;0.941261404220302;0.642448702669662;NA;1;1;NA;NA;NA;0.59835;1
"Katarniya";"urine.bank";"T";0.984885543091913;NA;NA;1;0.9891;NA;0.936890016370903;NA;NA;NA;NA;NA;NA;NA;1;1
"Katarniya";"struvite.production";"T";0.949193345685395;NA;NA;1;0.862886914337344;NA;0.940772664008514;NA;NA;NA;NA;NA;NA;NA;0.94915;1
"Katarniya";"drying.bed";"T";0.76052324892122;NA;NA;1;0.906569498572532;0.999952255578339;0.937280019413735;0.997766719612905;NA;1;1;NA;NA;NA;0.1004;1
"Katarniya";"faecesdrying.bed";"T";0.761849101597033;NA;NA;1;0.905358406959424;1;0.941050858053137;0.997851813768222;NA;1;1;NA;NA;NA;0.1017;1
"Katarniya";"sedimentation.pond";"T";0.710359593355919;NA;NA;1;0.9777;1;0.942022562394188;0.998002389885578;NA;NA;NA;NA;NA;NA;0.0993;1
"Katarniya";"abr";"T";0.904346729195289;NA;NA;1;0.872927283564599;1;0.938118935048825;1;NA;NA;NA;NA;NA;NA;0.6041;1
"Katarniya";"sbr";"T";0.716729619436364;NA;0.918796782626395;1;0.973023854186428;0.99992750242129;0.942497012666333;1;NA;NA;NA;NA;NA;NA;0.102;0.81031
"Katarniya";"activated.sludge";"T";0.711901415824882;NA;0.919327680233801;1;0.973293276588444;1;0.93970518969567;0.950232048333615;NA;NA;NA;NA;NA;NA;0.1017;0.8119
"Katarniya";"cocomposting";"T";0.959914902179582;NA;NA;1;0.800498916464566;1;0.938141588662205;1;NA;NA;NA;NA;NA;NA;1;1
"Katarniya";"biogas.reactor";"T";0.888337310820846;NA;NA;1;0.544935345153591;0.999908727656677;0.941257328369977;1;NA;NA;NA;NA;NA;NA;1;0.8512
"Katarniya";"wsp";"T";0.742464550372506;NA;NA;1;0.936128304154468;0.999926742462069;0.937749646399299;0.949984090651396;NA;NA;NA;NA;NA;NA;0.14915;1
"Katarniya";"constructedwetland";"T";0.919774653716742;NA;NA;1;0.910923562915762;1;0.940939003072912;0.997823619756162;NA;1;NA;NA;NA;NA;0.5989;1
"Katarniya";"application.urine";"D";0.970994961522038;NA;NA;1;0.863147231372718;1;NA;NA;NA;NA;NA;NA;NA;NA;1;1
"Katarniya";"application.struvite";"D";0.971317815617737;NA;NA;1;0.864691893386142;0.999874252486229;NA;NA;NA;NA;NA;NA;NA;NA;1;1
"Katarniya";"application.faeces";"D";0.961326495496421;NA;NA;1;0.86655924723034;1;NA;NA;NA;NA;NA;NA;NA;NA;0.94745;1
"Katarniya";"application.compost";"D";0.960590899106885;NA;NA;1;0.862247830141232;1;NA;NA;NA;NA;NA;NA;NA;NA;0.94855;1
"Katarniya";"application.stabilizedsludge";"D";0.970103676835836;NA;NA;1;0.859193045599317;1;NA;NA;NA;NA;NA;NA;NA;NA;1;1
"Katarniya";"biogas.combustion";"D";0.984453712133926;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0.93925
"Katarniya";"leach.field";"D";0.927514324011335;NA;NA;1;1;0.999966617969424;NA;1;0.54975;1;1;NA;NA;NA;0.95145;0.97129
"Katarniya";"soak.pit";"D";0.925192203219634;NA;NA;1;1;0.999932873824239;NA;1;0.55155;1;1;NA;NA;NA;0.9006;1
"Katarniya";"irrigation";"D";0.998803472172132;NA;NA;1;0.992842273985292;1;NA;1;NA;NA;NA;NA;NA;NA;1;1
