"case";"tech";"functional.group";"techapp.score";"Water.supply";"Energy.supply";"Frequency.of.O&M";"Temperature.range";"Flooding";"Vehicular.access ";"Slope";"Soil.type/hydraulic.conductivity";"Groundwater.depth";"Excavation";"Construction.skills ";"Design.skills ";"O&M.skills";"Management";"Spare.parts.supply"
"Katarniya";"uddt";"U";0.95985381247556;NA;NA;1;1;NA;NA;NA;NA;NA;NA;0.917782980884767;1;1;NA;0.8521
"Katarniya";"drytoilet";"U";0.973751670093776;NA;NA;1;1;NA;NA;NA;NA;NA;NA;1;1;1;NA;0.85249
"Katarniya";"pour.flush";"U";0.977040597754733;1;NA;1;1;NA;NA;NA;NA;NA;NA;1;1;1;NA;0.84994
"Katarniya";"udft";"U";0.976715116863825;1;NA;1;1;NA;NA;NA;NA;NA;NA;1;1;1;NA;0.84796
"Katarniya";"tab";"Uadd";0.903227165693806;0.6425;NA;1;1;NA;NA;NA;NA;NA;NA;0.91505682231733;0.834176098946674;1;NA;1
"Katarniya";"drainage";"Uadd";0.973058247294494;NA;NA;1;1;NA;NA;0.933589639105888;NA;1;1;1;0.837709649436528;1;NA;1
"Katarniya";"organic.solidwaste";"Uadd";0.978961145578519;NA;NA;1;1;NA;0.938202024422095;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Katarniya";"urine.storagetank";"S";0.972348750035366;NA;NA;1;0.874038309700731;NA;0.940208023966734;NA;NA;NA;NA;1;1;1;NA;1
"Katarniya";"dehydration.vault";"S";0.964530700836113;NA;NA;1;0.798597702964807;0.999978413402662;0.938014958397964;NA;NA;NA;NA;1;1;1;NA;1
"Katarniya";"faecesstorage.chamber";"S";0.965500724970809;NA;NA;1;0.802718375578807;0.999980466270447;0.940732422646261;NA;NA;NA;NA;1;1;1;NA;1
"Katarniya";"single.pit";"S";0.970133685097103;NA;NA;1;0.800914800295714;1;0.94116195281725;NA;0.9738;0.975948672423614;1;1;1;1;NA;1
"Katarniya";"double.pit";"S";0.969627812247747;NA;NA;1;0.800718624494932;1;0.936810870385049;NA;0.97475;0.974160708906468;1;1;1;1;NA;1
"Katarniya";"twin.pits";"S";0.946858725252679;NA;NA;1;1;1;NA;1;0.54845;1;1;1;1;1;NA;1
"Katarniya";"composting.chamber";"S";0.965219611179159;NA;NA;1;0.796858992560537;1;0.945426170699256;NA;NA;NA;NA;1;1;1;NA;1
"Katarniya";"vermi.composter";"S";0.953465591281644;NA;NA;1;0.726479573655206;1;0.940192518007912;NA;NA;NA;NA;1;1;1;NA;1
"Katarniya";"septic.tank";"S";0.986196415525178;NA;NA;1;0.952074015690294;1;0.939802606351686;NA;NA;NA;NA;1;1;1;NA;1
"Katarniya";"motorized.transport.urine";"C";0.948925114968434;NA;NA;1;1;NA;0.8563;1;NA;NA;NA;NA;NA;1;NA;0.85264
"Katarniya";"humanpowered.transport.urine";"C";0.99983625047351;NA;NA;1;1;NA;0.999017904961866;1;NA;NA;NA;NA;NA;1;NA;1
